Unnamed: 0,junction,node,x,y,latitude,longitude,stream_order,receiver_junction,geometry,node.1,row,col,latitude.1,longitude.1,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,dist,sinuosity,gradient,Junction Index,most_common_rocktype_id,RCS_D,LE,ksn_bin,ksn_bin_label,ksn_bin_midpoint
754,2634,225803866,537597.5,6059457.5,54.6810632,-2.41686311,2,2602,POINT (-2.41686311 54.6810632),225803866,10804,7795,54.6810632,-2.41686311,28.269,612.6,177160.0,3338600.0,30.155,-238.24,206,3,614.2,0.0,1.2651711021501524,0.0265472099715957,2634,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,6,28–34,31.032500000000002
755,2635,225477996,552737.5,6059527.5,54.6803348,-2.18205197,1,2636,POINT (-2.18205197 54.6803348),225477996,10790,10823,54.6803348,-2.18205197,19.382,518.11,143490.0,1250000.0,45.387,-360.37,248,3,519.32,0.0,1.4492973360201846,0.0873859026655208,2635,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,8,43–129,85.96499999999999
756,2636,233183019,552767.5,6057892.5,54.6656396,-2.18188213,2,2395,POINT (-2.18188213 54.6656396),233183019,11117,10829,54.6656396,-2.18188213,16.191,375.21,141120.0,4962800.0,49.977,-432.28,248,3,376.92,0.0,1.242759434806371,0.0474753752466544,2636,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,8,43–129,85.96499999999999
757,2643,225854969,558167.5,6059447.5,54.6790183,-2.09786075,1,2644,POINT (-2.09786075 54.6790183),225854969,10806,11909,54.6790183,-2.09786075,19.022,472.26,138490.0,1797000.0,52.752,-527.17,261,3,476.26,0.0,1.281778970315092,0.0445203128598871,2643,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,8,43–129,85.96499999999999
758,2644,247372990,559237.5,6054922.5,54.638233,-2.08218509,2,2645,POINT (-2.08218509 54.638233),247372990,11711,12123,54.638233,-2.08218509,13.723,265.25,132530.0,14379000.0,47.442,-387.41,261,3,263.62,0.0,1.260571733734503,0.0367739202323926,2644,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,8,43–129,85.96499999999999
759,2645,248483489,559232.5,6054692.5,54.6361669,-2.08230909,2,2403,POINT (-2.08230909 54.6361669),248483489,11757,12122,54.6361669,-2.08230909,13.551,256.79,132240.0,16476000.0,32.049,-178.46,261,3,255.82,0.0,1.142988196941956,0.028138057747189,2645,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,6,28–34,31.032500000000002
760,2646,225991823,537552.5,6059417.5,54.6807071,-2.41756616,1,2634,POINT (-2.41756616 54.6807071),225991823,10812,7786,54.6807071,-2.41756616,28.383,615.14,177230.0,1579900.0,25.52,-109.03,207,3,615.32,0.0,1.1626367179523596,0.0421871037656993,2646,160.0,LIMESTONE,0.552380952,5,24–28,26.1535
761,2648,226603682,541687.5,6059287.5,54.6792136,-2.35345579,1,2453,POINT (-2.35345579 54.6792136),226603682,10838,8613,54.6792136,-2.35345579,24.067,521.78,169430.0,1686200.0,13.459,198.07,212,3,521.98,0.0,1.157641193512993,0.0226985596044509,2648,9.0,QUARTZ-MICROGABBRO,0.285714286,2,11–15,12.7015
762,2650,226843031,563142.5,6059237.5,54.6765324,-2.02075925,1,2604,POINT (-2.02075925 54.6765324),226843031,10848,12904,54.6765324,-2.02075925,19.274,453.64,134560.0,1647400.0,22.976,11.808,285,3,454.66,0.0,1.4299780961121806,0.0471449367656209,2650,620.0,"MUDSTONE, SANDSTONE AND LIMESTONE",0.552380952,4,20–24,21.8765
763,2666,228913686,565382.5,6058797.5,54.6722931,-1.98612483,1,2667,POINT (-1.98612483 54.6722931),228913686,10936,13352,54.6722931,-1.98612483,16.635,374.74,89400.0,1381700.0,27.428,-79.98,612,10,376.28,0.0,1.3238277682756523,0.0493085817063334,2666,722.0,MUDSTONE,0.619047619,5,24–28,26.1535
764,2667,234441757,567447.5,6057627.5,54.661508,-1.95437916,2,2668,POINT (-1.95437916 54.661508),234441757,11170,13765,54.661508,-1.95437916,12.891,257.71,86258.0,10452000.0,27.401,-95.703,612,10,257.53,0.0,1.145924250728027,0.0224720210207703,2667,722.0,MUDSTONE,0.619047619,5,24–28,26.1535
765,2668,235986557,567957.5,6057302.5,54.6585193,-1.9465498,2,2669,POINT (-1.9465498 54.6585193),235986557,11235,13867,54.6585193,-1.9465498,12.416,244.12,85565.0,13299000.0,26.988,-92.326,612,10,242.76,0.0,1.131129380612959,0.0207558596627466,2668,620.0,"MUDSTONE, SANDSTONE AND LIMESTONE",0.552380952,5,24–28,26.1535
766,2669,232737133,571037.5,6057987.5,54.6642497,-1.89864796,3,2564,POINT (-1.89864796 54.6642497),232737133,11098,14483,54.6642497,-1.89864796,10.358,178.63,81996.0,36050000.0,25.461,-84.534,611,10,179.18,0.0,1.2103278065213896,0.0126475114875011,2669,620.0,"MUDSTONE, SANDSTONE AND LIMESTONE",0.552380952,5,24–28,26.1535
767,2671,229588922,526372.5,6058652.5,54.6745416,-2.5910295,1,2672,POINT (-2.5910295 54.6745416),229588922,10965,5550,54.6745416,-2.5910295,13.462,138.71,76490.0,1250900.0,4.6877,76.09,401,4,139.19,0.0,1.2315275911585124,0.0092460184833096,2671,703.0,SANDSTONE,0.628571429,0,0–6,3.11475
768,2672,222001297,523682.5,6060267.5,54.6891887,-2.63261253,2,2541,POINT (-2.63261253 54.6891887),222001297,10642,5012,54.6891887,-2.63261253,7.7668,109.7,72626.0,9749200.0,7.0516,56.462,400,4,111.23,0.0,1.3894463777429729,0.0033155490700859,2672,703.0,SANDSTONE,0.628571429,1,6–11,8.492999999999999
769,2674,229684351,532267.5,6058632.5,54.6740188,-2.49961875,1,2592,POINT (-2.49961875 54.6740188),229684351,10969,6729,54.6740188,-2.49961875,12.83,311.72,90994.0,1765400.0,31.017,-85.249,191,2,312.71,0.0,1.149209681941138,0.0556775980484379,2674,154.0,SILTSTONE,0.495238095,6,28–34,31.032500000000002
770,2676,229781732,547892.5,6058612.5,54.6725964,-2.25733965,1,2387,POINT (-2.25733965 54.6725964),229781732,10973,9854,54.6725964,-2.25733965,19.104,417.38,148040.0,1270400.0,13.288,163.48,238,3,417.33,0.0,1.409232560918813,0.0312366907978247,2676,454.0,LAVA AND TUFF,0.428571429,2,11–15,12.7015
771,2677,230630803,549922.5,6058432.5,54.6707819,-2.2258947,1,2389,POINT (-2.2258947 54.6707819),230630803,11009,10260,54.6707819,-2.2258947,16.174,375.24,145590.0,1283600.0,16.738,105.23,240,3,375.95,0.0,1.1456002233920652,0.0327570063876169,2677,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,3,15–20,17.142
772,2684,231623259,555967.5,6058222.5,54.6682598,-2.13221161,1,2628,POINT (-2.13221161 54.6682598),231623259,11051,11469,54.6682598,-2.13221161,17.545,441.79,140560.0,1269000.0,37.946,-227.72,256,3,438.03,0.0,1.1955510352821097,0.0786406903207787,2684,140.0,"LIMESTONE, SANDSTONE, SILTSTONE AND MUDSTONE",0.552380952,7,34–43,38.533500000000004
773,2685,231786125,543507.5,6058187.5,54.6691749,-2.32539486,1,2456,POINT (-2.32539486 54.6691749),231786125,11058,8977,54.6691749,-2.32539486,21.842,487.23,165400.0,1252400.0,4.1796,396.13,214,3,487.42,0.0,1.064492590824699,0.0091546362810925,2685,160.0,LIMESTONE,0.552380952,0,0–6,3.11475
774,2686,232045578,541297.5,6058132.5,54.6688665,-2.35966733,1,2455,POINT (-2.35966733 54.6688665),232045578,11069,8535,54.6688665,-2.35966733,25.286,574.72,169760.0,1480600.0,25.461,-70.958,211,3,572.83,0.0,1.247974990403604,0.0484953388261206,2686,9.0,QUARTZ-MICROGABBRO,0.285714286,5,24–28,26.1535
